CreatedAt,DeviceID,Channel,AlertType,Value,Status,AcknowledgedAt,ResolvedAt
2026-07-19T16:14:03Z,8694d447-1635-4010-bd30-23a5f5579a56,ch1,High Temperature,-11.2°C,acknowledged,2026-07-20T23:28:57Z,
2026-07-19T16:14:22Z,e436700c-263e-4ce6-b99e-67da68670359,ch2,High Temperature,-13.0°C,active,,
